background_clip,background_dino,condition,control_type,dataset_idx,experiment,face_detection_success,face_dino,face_lpips,image_category,local_region_pixels,masked_roi,person_dino,person_lpips,person_mask_method,person_region_consistency,scene_class_consistency,seed
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.4376947283744812,0.5653517246246338,Face,17956,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.3808257281780243,0.8033605813980103,Face,42025,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.010609203949570656,0.7469579577445984,Face,16641,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.3346269130706787,0.6670777797698975,Face,17424,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_01_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.26531046628952026,0.8208177089691162,Face,52900,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.05002128705382347,0.7082947492599487,Face,33856,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,287,E3_joint_redundancy,1.0,0.10357337445020676,0.8472054600715637,Face,32761,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.24925845861434937,0.7322177290916443,Face,30625,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.31053388118743896,0.7921592593193054,Face,24649,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,529,E3_joint_redundancy,0.0,0.3634292185306549,0.6900050640106201,Face,17161,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.32331886887550354,0.5426811575889587,Face,17956,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.3867811858654022,0.8025867938995361,Face,42025,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,781,E3_joint_redundancy,0.0,0.07318814843893051,0.6787062287330627,Face,16641,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.35398539900779724,0.6744375228881836,Face,17424,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_02_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.18143394589424133,0.8330429196357727,Face,52900,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.10682906955480576,0.7289000153541565,Face,33856,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,287,E3_joint_redundancy,1.0,0.10239032655954361,0.8287569880485535,Face,32761,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.23614391684532166,0.7128149271011353,Face,30625,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.23761972784996033,0.8064408302307129,Face,24649,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,529,E3_joint_redundancy,0.0,0.2812592089176178,0.6564288139343262,Face,17161,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.43737101554870605,0.561296820640564,Face,17956,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.42622560262680054,0.8011513352394104,Face,42025,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,781,E3_joint_redundancy,1.0,0.1012319028377533,0.7308923602104187,Face,16641,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.26249903440475464,0.6785000562667847,Face,17424,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_03_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.2189393788576126,0.8257414698600769,Face,52900,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.20703668892383575,0.7141090631484985,Face,33856,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.10091996192932129,0.8383681178092957,Face,32761,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.27186042070388794,0.7191101312637329,Face,30625,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.19516192376613617,0.7964737415313721,Face,24649,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.3298313617706299,0.6663714051246643,Face,17161,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,678,E3_joint_redundancy,1.0,0.43696627020835876,0.568138062953949,Face,17956,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.31793808937072754,0.8018755316734314,Face,42025,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,781,E3_joint_redundancy,0.0,0.04137655720114708,0.7395135164260864,Face,16641,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,789,E3_joint_redundancy,0.0,0.22381016612052917,0.6671226024627686,Face,17424,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_04_mean,pure_matched_random,973,E3_joint_redundancy,0.0,0.20347672700881958,0.8288540244102478,Face,52900,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,158,E3_joint_redundancy,1.0,0.058007773011922836,0.7299234867095947,Face,33856,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,287,E3_joint_redundancy,0.0,0.0921504944562912,0.8111036419868469,Face,32761,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,415,E3_joint_redundancy,0.0,0.25204670429229736,0.7053135633468628,Face,30625,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,465,E3_joint_redundancy,1.0,0.3224397897720337,0.8076525926589966,Face,24649,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,529,E3_joint_redundancy,1.0,0.29547178745269775,0.6818031072616577,Face,17161,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,678,E3_joint_redundancy,0.0,0.46769842505455017,0.5447165369987488,Face,17956,Face+Body+Scene,,,,,,12345
,,mask_Face+Body+Scene_pure_random_05_mean,pure_matched_random,756,E3_joint_redundancy,0.0,0.40559184551239014,0.79973304271698,Face,42025,Face+Body+Scene,,,,,,12345
