analysis_status,bh_q_e3b,ci95,image_category,masked_roi,metric,metric_family,num_images,sign_flip_p,target_minus_pure_random
formal,0.753074692530747,"[-0.015287185261646907, 0.007544961262930621]",Face,Face+Scene,clip,global,37,0.502049795020498,-0.004014527744001095
formal,0.24966253374662536,"[-0.03163740138202352, 0.0005144945737645711]",Face,Face+Scene,dino,global,37,0.07989201079892011,-0.015175013107390284
formal,0.9284466290213084,"[-0.08468468468468468, 0.057657657657657665]",Face,Face+Scene,face_detection_success,local,37,0.7430256974302569,-0.01261261261261261
formal,0.18841865813418657,"[-0.030052676605299814, -0.002446634273573354]",Face,Face+Scene,face_dino,local,37,0.0334966503349665,-0.015591694269463557
formal,0.4135086491350865,"[-0.0018549620863553635, 0.011866668994362289]",Face,Face+Scene,face_lpips,local,37,0.1837816218378162,0.0047552022848043355
formal,0.8560584619504152,"[-0.0023299321371155817, 0.0045534549317918374]",Face,Face+Scene,lpips,global,37,0.6376362363763624,0.0009130120277404781
formal,0.8560584619504152,"[-0.007666694880487793, 0.004146938540021662]",Face,Face+Scene,pixel_corr,global,37,0.6239376062393761,-0.0015520209556348732
formal,0.7422695230476952,"[-0.0042071893620506465, 0.0020330768140536426]",Face,Face+Scene,ssim,global,37,0.47505249475052497,-0.0011588319038094276
formal,0.27209043801502203,"[-0.0008150375723838802, 0.018310397017995514]",Scene,Body+Scene,background_clip,local,50,0.0861913808619138,0.008722927292188008
formal,0.27209043801502203,"[-0.000550791348773053, 0.02719068770199083]",Scene,Body+Scene,background_dino,local,50,0.068993100689931,0.013054483456847567
formal,0.4118159612610167,"[-0.003048483031988143, 0.017132959839701645]",Scene,Body+Scene,clip,global,50,0.19218078192180782,0.006978937347730001
formal,0.20997900209979004,"[0.0007148066036946463, 0.026133353789375785]",Scene,Body+Scene,dino,global,50,0.050094990500949906,0.013418990685604513
formal,0.940179954607279,"[-0.0043693883915742245, 0.003751401937007901]",Scene,Body+Scene,lpips,global,50,0.9026097390260974,-0.0002699307600657144
formal,0.940179954607279,"[-0.011278018766347864, 0.008391668585705172]",Scene,Body+Scene,pixel_corr,global,50,0.8845115488451155,-0.0008127407377320673
formal,0.7001299870012998,"[-0.025333333333333333, 0.07066666666666667]",Scene,Body+Scene,scene_class_consistency,local,50,0.388961103889611,0.022666666666666665
formal,0.017498250174982504,"[-0.008558312827713768, -0.0024475937745615543]",Scene,Body+Scene,ssim,global,50,0.0006999300069993001,-0.005397286990631126
formal,0.27209043801502203,"[-0.00011395379801591223, 0.021151805360118535]",Scene,Face+Body,background_clip,local,50,0.07179282071792821,0.009886725147565206
formal,0.27209043801502203,"[0.000778070642193779, 0.03905887982636535]",Scene,Face+Body,background_dino,local,50,0.06669333066693331,0.018178316421496376
formal,0.24966253374662536,"[-0.00017986068924268008, 0.020235126947363215]",Scene,Face+Body,clip,global,50,0.06729327067293271,0.009729878505071003
formal,0.20997900209979004,"[0.001959078433077473, 0.04020482496599822]",Scene,Face+Body,dino,global,50,0.05039496050394961,0.019031312988760568
formal,0.29900235782873325,"[-0.000893538254499434, 0.007663754210869469]",Scene,Face+Body,lpips,global,50,0.12268773122687732,0.003400813182195028
formal,0.24966253374662536,"[-0.00012968227025465773, 0.014136382883237238]",Scene,Face+Body,pixel_corr,global,50,0.0776922307769223,0.006757295237223075
formal,0.9754605934755363,"[-0.042666666666666665, 0.03599999999999999]",Scene,Face+Body,scene_class_consistency,local,50,0.9321067893210679,-0.002666666666666665
formal,0.07284985787135571,"[-0.007389833313236063, -0.0015148165552710702]",Scene,Face+Body,ssim,global,50,0.0066993300669933005,-0.0043669866231838455
formal,0.15223477652234776,"[0.0027996013571818675, 0.023960844865441318]",Scene,Face+Body+Scene,background_clip,local,50,0.0182981701829817,0.012861930092175802
formal,0.13161183881611838,"[0.006229311605961994, 0.04687889317967929]",Scene,Face+Body+Scene,background_dino,local,50,0.011698830116988301,0.024488180070494615
formal,0.1724827517248275,"[0.0016474413802226378, 0.02331947367191314]",Scene,Face+Body+Scene,clip,global,50,0.0321967803219678,0.012331463575363159
formal,0.10573942605739425,"[0.005473624066201348, 0.045658920692450644]",Scene,Face+Body+Scene,dino,global,50,0.014098590140985901,0.023638443538919095
formal,0.7568360810977726,"[-0.002889705492059389, 0.0056053096155325565]",Scene,Face+Body+Scene,lpips,global,50,0.5146485351464853,0.0014631070295969648
formal,0.753074692530747,"[-0.00597849719464352, 0.011435071281041449]",Scene,Face+Body+Scene,pixel_corr,global,50,0.49965003499650035,0.0031114979886632077
formal,0.042745725427457255,"[0.022666666666666665, 0.08533333333333333]",Scene,Face+Body+Scene,scene_class_consistency,local,50,0.0018998100189981002,0.05333333333333333
formal,0.5097567166360287,"[-0.0046530475870954985, 0.0012941908947026876]",Scene,Face+Body+Scene,ssim,global,50,0.263973602639736,-0.0017592759689350889
formal,0.843243800619938,"[-0.005010664277275404, 0.0093086064517498]",Scene,Face+Scene,background_clip,local,50,0.5996400359964004,0.0019436477422714235
formal,0.8821764882335296,"[-0.008208384086416725, 0.017256274644572592]",Scene,Face+Scene,background_dino,local,50,0.6665333466653335,0.0034266811059787874
formal,0.8822504846289564,"[-0.005783012319604554, 0.008402179661393165]",Scene,Face+Scene,clip,global,50,0.7293270672932707,0.0012713303168614709
formal,0.8560584619504152,"[-0.008318062435067258, 0.018696888891956757]",Scene,Face+Scene,dino,global,50,0.6375362463753624,0.003938346857515474
formal,0.6711828817118288,"[-0.004077612012624741, 0.001686170869072279]",Scene,Face+Scene,lpips,global,50,0.4116588341165883,-0.0012213409344355266
formal,0.4118159612610167,"[-0.0018402966319655035, 0.010017464183905665]",Scene,Face+Scene,pixel_corr,global,50,0.1847815218478152,0.004027527641772746
formal,0.8738671587386715,"[-0.03600000000000001, 0.022666666666666665]",Scene,Face+Scene,scene_class_consistency,local,50,0.6408359164083591,-0.00666666666666667
formal,0.8822504846289564,"[-0.0028446390453721977, 0.003840775577522288]",Scene,Face+Scene,ssim,global,50,0.7177282271772822,0.0007587935076038058
formal,0.9766068847660687,"[-0.0055564367234706875, 0.005190566742420196]",Scene,Scene,background_clip,local,50,0.954904509549045,-0.00014646041393279974
formal,0.9240790206693618,"[-0.011990665997727773, 0.007865284748678092]",Scene,Scene,background_dino,local,50,0.7187281271872813,-0.0019171649742250644
formal,0.940179954607279,"[-0.0055815642009178785, 0.005007531234622002]",Scene,Scene,clip,global,50,0.8996100389961004,-0.0003361529906590778
formal,0.8560584619504152,"[-0.012269234342391916, 0.007517496943489332]",Scene,Scene,dino,global,50,0.6257374262573743,-0.0025217328049863376
formal,0.29535507987662774,"[-0.003371848503748575, 0.0002115597645441686]",Scene,Scene,lpips,global,50,0.10238976102389762,-0.0015599412520726518
formal,0.4118159612610167,"[-0.0010428082643711353, 0.006177068844890489]",Scene,Scene,pixel_corr,global,50,0.18498150184981502,0.002471844380712559
formal,0.817466640432731,"[-0.017333333333333333, 0.03066666666666667]",Scene,Scene,scene_class_consistency,local,50,0.54994500549945,0.006666666666666669
formal,0.4878566197434311,"[-0.00356242926689433, 0.000540272155895182]",Scene,Scene,ssim,global,50,0.24067593240675933,-0.001288277844745988
